"stratum","size","obs_rhythmic","exp_rhythmic","obs_frac","log2_obs_exp","p_enrich","p_deplete","species"
"Prokaryotic",1620,1175,1140.6,72.5,0.043,0.00899100899100899,0.992007992007992,"Syn"
"Specific",1847,1265,1299.4,68.5,-0.039,0.992007992007992,0.00899100899100899,"Syn"
"Prokaryotic",1626,1173,811.9,72.1,0.53,0.000999000999000999,1,"Cpa"
"Archeaplastidia I",6739,4646,3367.7,68.9,0.464,0.000999000999000999,1,"Cpa"
"Specific",16337,6524,8163.4,39.9,-0.323,1,0.000999000999000999,"Cpa"
"Prokaryotic",1170,971,923.6,83,0.072,0.000999000999000999,1,"Ppu"
"Archeaplastidia I",3094,2545,2443.3,82.3,0.059,0.000999000999000999,1,"Ppu"
"Archeaplastidia II",828,673,653.2,81.3,0.043,0.040959040959041,0.969030969030969,"Ppu"
"Specific",3263,2408,2576.9,73.8,-0.098,1,0.000999000999000999,"Ppu"
"Prokaryotic",1510,1240,1050.7,82.1,0.239,0.000999000999000999,1,"Cre"
"Archeaplastidia I",4565,3507,3175.7,76.8,0.143,0.000999000999000999,1,"Cre"
"Archeaplastidia II",583,450,405.4,77.2,0.15,0.000999000999000999,1,"Cre"
"Viridiplantae",1504,1077,1047.2,71.6,0.04,0.03996003996004,0.963036963036963,"Cre"
"Specific",9571,6067,6662,63.4,-0.135,1,0.000999000999000999,"Cre"
"Prokaryotic",1675,1254,919.6,74.9,0.447,0.000999000999000999,1,"Kni"
"Archeaplastidia I",4999,3417,2749,68.4,0.314,0.000999000999000999,1,"Kni"
"Archeaplastidia II",707,519,388.6,73.4,0.416,0.000999000999000999,1,"Kni"
"Viridiplantae",1466,919,806,62.7,0.189,0.000999000999000999,1,"Kni"
"Streptophyta",1754,1043,963.4,59.5,0.114,0.000999000999000999,1,"Kni"
"Specific",6452,2225,3550.4,34.5,-0.674,1,0.000999000999000999,"Kni"
"Prokaryotic",2370,1448,859.6,61.1,0.752,0.000999000999000999,1,"Ppa"
"Archeaplastidia I",7145,3901,2588.6,54.6,0.591,0.000999000999000999,1,"Ppa"
"Archeaplastidia II",1049,559,380.7,53.3,0.553,0.000999000999000999,1,"Ppa"
"Viridiplantae",1772,959,641.6,54.1,0.579,0.000999000999000999,1,"Ppa"
"Streptophyta",2205,1169,799,53,0.548,0.000999000999000999,1,"Ppa"
"Embryophyta",2209,947,800,42.9,0.243,0.000999000999000999,1,"Ppa"
"Specific",15525,2710,5623.5,17.5,-1.053,1,0.000999000999000999,"Ppa"
"Prokaryotic",2107,1457,1121.3,69.2,0.377,0.000999000999000999,1,"Smo"
"Archeaplastidia I",6443,4088,3428.8,63.4,0.254,0.000999000999000999,1,"Smo"
"Archeaplastidia II",888,588,473.3,66.2,0.313,0.000999000999000999,1,"Smo"
"Viridiplantae",1501,971,799.7,64.7,0.28,0.000999000999000999,1,"Smo"
"Streptophyta",1839,1149,977.6,62.5,0.233,0.000999000999000999,1,"Smo"
"Embryophyta",1654,903,881.1,54.6,0.035,0.126873126873127,0.88011988011988,"Smo"
"Tracheophyta",824,366,438.9,44.4,-0.261,1,0.000999000999000999,"Smo"
"Specific",7029,2339,3740.3,33.3,-0.677,1,0.000999000999000999,"Smo"
"Prokaryotic",2080,137,124.1,6.6,0.141,0.121878121878122,0.895104895104895,"Pab"
"Archeaplastidia I",7209,592,428.8,8.2,0.464,0.000999000999000999,1,"Pab"
"Archeaplastidia II",1104,81,65.8,7.3,0.296,0.043956043956044,0.97002997002997,"Pab"
"Viridiplantae",1806,121,107.7,6.7,0.166,0.108891108891109,0.904095904095904,"Pab"
"Streptophyta",2241,194,133.5,8.7,0.536,0.000999000999000999,1,"Pab"
"Embryophyta",2466,249,146.4,10.1,0.762,0.000999000999000999,1,"Pab"
"Tracheophyta",941,64,56.2,6.8,0.184,0.140859140859141,0.888111888111888,"Pab"
"Gymnospermae",1299,103,76.8,7.9,0.418,0.001998001998002,0.999000999000999,"Pab"
"Specific",17801,658,1059.6,3.7,-0.687,1,0.000999000999000999,"Pab"
"Prokaryotic",2143,845,693.6,39.4,0.284,0.000999000999000999,1,"Osa"
"Archeaplastidia I",6557,2621,2123.7,40,0.303,0.000999000999000999,1,"Osa"
"Archeaplastidia II",1001,402,324.6,40.2,0.307,0.000999000999000999,1,"Osa"
"Viridiplantae",1646,592,533.7,36,0.149,0.000999000999000999,1,"Osa"
"Streptophyta",1976,741,638.9,37.5,0.214,0.000999000999000999,1,"Osa"
"Embryophyta",1576,528,510.5,33.5,0.049,0.166833166833167,0.849150849150849,"Osa"
"Tracheophyta",426,150,137.8,35.2,0.121,0.104895104895105,0.909090909090909,"Osa"
"Gymnospermae",839,254,271.7,30.3,-0.097,0.915084915084915,0.105894105894106,"Osa"
"Angiospermae",657,227,212.7,34.6,0.093,0.132867132867133,0.888111888111888,"Osa"
"Specific",8136,1722,2634.7,21.2,-0.613,1,0.000999000999000999,"Osa"
"Prokaryotic",1736,799,703.3,46,0.184,0.000999000999000999,1,"Ath"
"Archeaplastidia I",5197,2071,2104.4,39.8,-0.023,0.891108891108891,0.118881118881119,"Ath"
"Archeaplastidia II",725,331,293.4,45.7,0.173,0.001998001998002,0.999000999000999,"Ath"
"Viridiplantae",1270,513,515.3,40.4,-0.007,0.562437562437562,0.461538461538462,"Ath"
"Streptophyta",1481,595,599.3,40.2,-0.01,0.599400599400599,0.420579420579421,"Ath"
"Embryophyta",1099,447,444.8,40.7,0.007,0.453546453546454,0.563436563436563,"Ath"
"Tracheophyta",283,116,114.5,41,0.018,0.452547452547453,0.597402597402597,"Ath"
"Gymnospermae",552,203,223.4,36.8,-0.137,0.961038961038961,0.045954045954046,"Ath"
"Angiospermae",412,182,166.3,44.2,0.129,0.0579420579420579,0.95004995004995,"Ath"
"Specific",1264,419,511.1,33.1,-0.286,1,0.000999000999000999,"Ath"
